liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Total Passes,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Leftside Passes,Foul Attempted Tackle,Penalty Goals Conceded,Time Played,Ground Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Successful Passes Opposition Half,Substitute Off,Total Tackles,Unsuccessful Short Passes,Open Play Passes,Index,Tackles Won,Ground Duels won,Games Played,Successful Dribbles,Duels,Total Shots,Total Clearances,Total Fouls Won,Blocks,Throw Ins to Own Player,Ground Duels,Rightside Passes,Successful Short Passes,Unsuccessful Crosses open play,Throw Ins to Opposition Player,Recoveries,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Passes Own Half,Appearances,Goals Conceded,Starts,Shots On Target ( inc goals ),Successful Open Play Passes,Forward Passes,Duels won,Duels lost,Touches,Unsuccessful Passes Opposition Half,Winning Goal,Corners Won,Overruns,Through balls,Successful Long Passes,Assists (Intentional),Unsuccessful Corners into Box,Goals,Goal Assists,Penalties Conceded,Penalties Taken,Aerial Duels,Left Foot Goals,Successful Launches,Aerial Duels won,Goal Kicks,Clean Sheets,Penalty Goals,Successful Lay-offs,Goals Conceded Outside Box,Hit Woodwork,Yellow Cards,GK Successful Distribution,Unsuccessful Dribbles,Key Passes (Attempt Assists),Corners Taken (incl short corners),Blocked Shots,Tackles Lost,Attempts from Set Pieces,Unsuccessful Long Passes,Goals from Inside Box,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Backward Passes,Handballs conceded,Unsuccessful Passes Own Half,Goals Openplay,Successful Crosses & Corners,Right Foot Goals,Interceptions,Unsuccessful lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Successful Corners into Box,Successful Crosses open play,Substitute On,Home Goals,Away Goals,Offsides,Other Goals,Second Goal Assists,Red Cards - 2nd Yellow,Total Red Cards,Saves Made from Inside Box,Saves Made,Clearances Off the Line,Punches,Saves Made from Outside Box,Saves made - parried,GK Unsuccessful Distribution,Catches,Goalkeeper Smother,Drops,Penalties Faced,Straight Red Cards,Last Player Tackle,Headed Goals,Own Goal Scored,Goals from Outside Box,Set Pieces Goals,Penalties Saved,Saves from Penalty,Foul Won Penalty,Crosses not Claimed,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved,Direct Setpiece Goals,Penalties Off Target
USA_MLS_Next_Pro,2025,Atlanta United 2,95zzxes69phje4hijfa6tr4t0,A. Akintobi,Defender,73,1.0,17.0,1.0,15.0,10.0,8.0,1.0,1.0,82.0,3.0,1.0,1.0,11.0,1.0,1.0,2.0,16.0,10.0,1.0,3.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,4.0,6.0,1.0,15.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,14.0,8.0,3.0,3.0,40.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,d5kcfgycj51y6aw82r38sl7o4,Javier Armas,Midfielder,86,30.0,1156.0,27.0,1019.0,264.0,308.0,10.0,6.0,1855.0,78.0,35.0,61.0,517.0,2.0,41.0,98.0,1094.0,10.0,28.0,90.0,25.0,21.0,192.0,39.0,15.0,28.0,5.0,3.0,168.0,354.0,912.0,18.0,,111.0,28.0,137.0,524.0,25.0,33.0,19.0,20.0,965.0,291.0,105.0,87.0,1533.0,162.0,0.0,18.0,2.0,5.0,107.0,1.0,31.0,3.0,2.0,1.0,2.0,24.0,1.0,5.0,15.0,4.0,3.0,1.0,26.0,3.0,2.0,7.0,4.0,13.0,31.0,60.0,15.0,13.0,8.0,39.0,3.0,32.0,9.0,14.0,203.0,1.0,36.0,1.0,22.0,2.0,19.0,1.0,14.0,19.0,16.0,4.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,a63su8pudaernrvj1fi9006qc,L. Brennan,Midfielder,20,8.0,116.0,4.0,103.0,63.0,35.0,1.0,,463.0,30.0,22.0,13.0,82.0,4.0,7.0,11.0,113.0,10.0,5.0,31.0,6.0,8.0,62.0,8.0,1.0,16.0,,5.0,61.0,11.0,98.0,13.0,,18.0,18.0,13.0,27.0,6.0,8.0,6.0,6.0,100.0,43.0,31.0,31.0,235.0,24.0,0.0,6.0,1.0,,5.0,,,2.0,,,,1.0,1.0,,,,,,1.0,,,2.0,,13.0,7.0,,3.0,2.0,1.0,2.0,2.0,12.0,1.0,6.0,27.0,1.0,2.0,2.0,6.0,,,1.0,,2.0,,6.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,cliiemf1ih37qhh1wi1olk9ka,R. Carmichael,Midfielder,36,34.0,572.0,13.0,418.0,315.0,177.0,6.0,6.0,1978.0,67.0,40.0,55.0,289.0,8.0,23.0,106.0,559.0,10.0,11.0,58.0,28.0,18.0,195.0,28.0,17.0,17.0,5.0,44.0,125.0,76.0,389.0,41.0,15.0,57.0,71.0,154.0,152.0,28.0,37.0,21.0,13.0,405.0,191.0,87.0,108.0,993.0,163.0,1.0,13.0,3.0,2.0,29.0,3.0,10.0,1.0,4.0,,,70.0,1.0,2.0,29.0,,1.0,,10.0,3.0,,1.0,,26.0,32.0,15.0,6.0,12.0,4.0,48.0,1.0,46.0,41.0,21.0,128.0,2.0,46.0,1.0,23.0,,19.0,2.0,22.0,15.0,2.0,16.0,7.0,0.0,1.0,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,f69xf0cdfn1qe63t5tr5in10,D. Chong Qui,Defender,50,17.0,430.0,31.0,340.0,201.0,12.0,13.0,1.0,1460.0,79.0,34.0,27.0,177.0,3.0,34.0,78.0,421.0,10.0,21.0,64.0,18.0,11.0,182.0,14.0,23.0,19.0,3.0,67.0,143.0,162.0,325.0,27.0,24.0,69.0,24.0,90.0,165.0,18.0,19.0,17.0,9.0,331.0,151.0,83.0,99.0,782.0,86.0,0.0,17.0,,,15.0,1.0,,,1.0,1.0,,39.0,,2.0,19.0,,6.0,,2.0,2.0,,3.0,,12.0,10.0,,2.0,13.0,,12.0,,26.0,20.0,13.0,105.0,1.0,31.0,,2.0,,16.0,,6.0,5.0,,2.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,8vmttwry45aqhdprnzfc2a13o,R. Clarson,Goalkeeper,87,1.0,42.0,,27.0,15.0,7.0,,,90.0,,,,4.0,,,1.0,36.0,10.0,,,1.0,,,,1.0,,,,,11.0,19.0,,,14.0,,15.0,23.0,1.0,1.0,1.0,,25.0,24.0,,,50.0,9.0,0.0,,,,8.0,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,14.0,,,,,,,6.0,,,,,,9.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,d3gmzmf34c6o8vzngnf7ishlg,N. Cobb,Defender,24,3.0,227.0,2.0,201.0,28.0,79.0,1.0,,207.0,3.0,1.0,,54.0,3.0,4.0,14.0,215.0,10.0,,7.0,4.0,,26.0,2.0,8.0,3.0,2.0,,10.0,72.0,195.0,,,12.0,3.0,26.0,147.0,4.0,3.0,4.0,,189.0,71.0,17.0,9.0,259.0,14.0,0.0,,,,6.0,,,,,,,16.0,,1.0,10.0,2.0,,,,,,,2.0,,,,,4.0,,12.0,,1.0,6.0,,5.0,,12.0,,,,4.0,,5.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,cu84s15ig7u7g9iwwcff82yuh,J. Cohen,Goalkeeper,22,3.0,150.0,,110.0,40.0,30.0,,,360.0,,,,12.0,,,,103.0,10.0,,,4.0,,1.0,,7.0,,,,,44.0,91.0,,,43.0,,40.0,98.0,4.0,3.0,4.0,,84.0,76.0,1.0,,204.0,38.0,0.0,,,,19.0,,,,,,,1.0,,4.0,1.0,29.0,2.0,,,,,,48.0,,1.0,,,,,40.0,,,,,,,2.0,,,,,,17.0,,,,,,,,,,,,8.0,18.0,,3.0,10.0,2.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,7eha3pukhccod6xoeeyrbqlg4,I. Suarez-Couri,Midfielder,64,2.0,23.0,1.0,16.0,11.0,5.0,1.0,,47.0,7.0,3.0,,12.0,,6.0,6.0,23.0,10.0,3.0,6.0,6.0,,15.0,3.0,,,,,13.0,3.0,16.0,,,3.0,6.0,7.0,4.0,6.0,2.0,,3.0,16.0,12.0,7.0,8.0,37.0,6.0,0.0,1.0,,,,1.0,,1.0,1.0,,,2.0,,,1.0,,,,,,,1.0,,,2.0,,,3.0,,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,1.0,,,,,,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,6q634opy4rb3nki6ydmgpbhg4,J. Donaldson,Goalkeeper,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,2jla5brntn73lft6g85ruh9uc,B. Dunham,Defender,61,9.0,321.0,10.0,266.0,81.0,61.0,4.0,1.0,617.0,14.0,2.0,6.0,132.0,2.0,16.0,36.0,313.0,10.0,9.0,23.0,9.0,1.0,49.0,4.0,16.0,6.0,5.0,22.0,37.0,93.0,248.0,6.0,15.0,27.0,8.0,55.0,135.0,9.0,10.0,6.0,3.0,259.0,122.0,28.0,21.0,449.0,51.0,0.0,3.0,,,18.0,,,,,,,12.0,,4.0,5.0,,2.0,,,1.0,,1.0,,1.0,7.0,,1.0,7.0,,19.0,,6.0,7.0,2.0,45.0,,10.0,,1.0,,13.0,,8.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,cc7ky0g4t6v8ww7zmkygvjj10,I. Ettinger,Defender,72,1.0,,1.0,,,,1.0,,11.0,1.0,,,,,,,,10.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,977s1fxwxwxqbged7jln0nka2,Leo Afonso,Forward,13,2.0,71.0,4.0,55.0,37.0,11.0,3.0,1.0,272.0,13.0,8.0,2.0,43.0,3.0,,14.0,69.0,10.0,,13.0,4.0,7.0,28.0,8.0,,6.0,,,26.0,27.0,51.0,2.0,1.0,3.0,13.0,16.0,12.0,4.0,2.0,4.0,5.0,53.0,8.0,15.0,13.0,119.0,17.0,0.0,4.0,,,4.0,,,1.0,,,,2.0,,1.0,2.0,,,,6.0,,1.0,,,6.0,2.0,,1.0,,3.0,2.0,1.0,1.0,,,25.0,,1.0,1.0,,1.0,,1.0,1.0,3.0,,,,1.0,0.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
