dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Montserrat,Montserrat,Concacaf Nations League,Attacker,Montserrat,132nl5bqmn5xp3qixqdgmsmc4,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/132nl5bqmn5xp3qixqdgmsmc4
,,Montserrat,Montserrat,Concacaf Nations League,Defender,Montserrat,1j010cibh247p8kjchww6ny3u,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/1j010cibh247p8kjchww6ny3u
,,Montserrat,Montserrat,Concacaf Nations League,Attacker,Montserrat,208y4r6vabsmq601jud9jkfhm,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/208y4r6vabsmq601jud9jkfhm
,,Montserrat,Montserrat,Concacaf Nations League,Defender,Montserrat,30j93acpgxv7yna9jty1r42j9,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/30j93acpgxv7yna9jty1r42j9
,,Montserrat,Montserrat,Concacaf Nations League,Defender,Montserrat,33vl05covklprk7cbbchqe9cl,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/33vl05covklprk7cbbchqe9cl
,,Montserrat,Montserrat,Concacaf Nations League,Midfielder,Montserrat,54ddcki0pq3rkojm6icyps4d0,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/54ddcki0pq3rkojm6icyps4d0
,,Montserrat,Montserrat,Concacaf Nations League,Attacker,Montserrat,57zokeymq0dc6e2pgyjrb8ez9,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/57zokeymq0dc6e2pgyjrb8ez9
,,Montserrat,Montserrat,Concacaf Nations League,Midfielder,Montserrat,5wwgtknyrjd8et64qa4sbcvmc,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/5wwgtknyrjd8et64qa4sbcvmc
,,Montserrat,Montserrat,Concacaf Nations League,Midfielder,Montserrat,6evowcqga1bjh5836lrxx73yt,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/6evowcqga1bjh5836lrxx73yt
,,Montserrat,Montserrat,Concacaf Nations League,Attacker,Montserrat,6u0e93rc0hv1mc7ch7tfij85,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/6u0e93rc0hv1mc7ch7tfij85
,,Montserrat,Montserrat,Concacaf Nations League,Goalkeeper,Montserrat,7glk3jjatlffhe891meg7qbys,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/7glk3jjatlffhe891meg7qbys
,,Montserrat,Montserrat,Concacaf Nations League,Midfielder,Montserrat,8fa9d1e5911qeja2g91d3r190,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/8fa9d1e5911qeja2g91d3r190
,,Montserrat,Montserrat,Concacaf Nations League,Attacker,Montserrat,8tqn4bht3uhbbqfki358uv2t,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/8tqn4bht3uhbbqfki358uv2t
,,Montserrat,Montserrat,Concacaf Nations League,Goalkeeper,Montserrat,91zi1zms2isi2jfqf4mhlwqac,eer5msu8ajonm2fhub25fs153,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eer5msu8ajonm2fhub25fs153/player/view/91zi1zms2isi2jfqf4mhlwqac
