dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
15,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Midfielder,Honduras,16dmszlgoxqwzncidglrv9j9x,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/16dmszlgoxqwzncidglrv9j9x
25,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Midfielder,USA,1nnd0b4qwlni7tqot2n2st4yy,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/1nnd0b4qwlni7tqot2n2st4yy
23,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Attacker,Nigeria,2d5q8emajavaqvnofdqrccfoq,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/2d5q8emajavaqvnofdqrccfoq
6,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Midfielder,Serbia,2j676nd4cjhwzxx6y30vw4frp,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/2j676nd4cjhwzxx6y30vw4frp
10,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Midfielder,Israel,2kcvwgrqcwgsisxo2lulusq1h,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/2kcvwgrqcwgsisxo2lulusq1h
29,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Goalkeeper,USA,33skk40ltk8q7rev7b81ygbmd,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/33skk40ltk8q7rev7b81ygbmd
24,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Defender,USA,44kah50v5w1on1mhbostzfrze,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/44kah50v5w1on1mhbostzfrze
14,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Defender,Germany,46vr35g415omy60ahbiv40wk5,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/46vr35g415omy60ahbiv40wk5
82,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Defender,USA,4cfvnypovkt900sfxmdhvxtec,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/4cfvnypovkt900sfxmdhvxtec
5,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Defender,Colombia,5b84u9j65yoptelzov3nykudx,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/5b84u9j65yoptelzov3nykudx
18,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Defender,Belgium,5qq4iy1v4yt2euqcsfffmsvl5,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/5qq4iy1v4yt2euqcsfffmsvl5
1,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Goalkeeper,USA,682h3bzmosnq6lovf1ioivluy,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/682h3bzmosnq6lovf1ioivluy
22,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Goalkeeper,USA,6j38lv6xa3gnzzsn5x2i35rdh,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/6j38lv6xa3gnzzsn5x2i35rdh
11,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Attacker,USA,6p31nnhcwtu63z6p92tt6l3vt,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/6p31nnhcwtu63z6p92tt6l3vt
54,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Midfielder,France,6ved9qz0sjx0iex5ij5c7nx1,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/6ved9qz0sjx0iex5ij5c7nx1
17,,Sporting Kansas City,Sporting_Kansas_City,Leagues Cup,Midfielder,USA,7fow2xwajxenikljzfaixqkbu,3olfhpj6emfhceudd95ytb9gy,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/3olfhpj6emfhceudd95ytb9gy/player/view/7fow2xwajxenikljzfaixqkbu
