liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,bxwon00wl9tyjvu51my3gcvf8,N. Abraham,Goalkeeper,18.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,dht42dfvrdg7672df9flczxuc,A. Biello,Midfielder,4.0,3,0,2,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,5lwarg9t4o7hxcq5exe8gwydw,M. Bunbury,Attacker,17.0,3,1,2,0,0,0,2,1
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,6t4bdbrph7kwcrbkrasw4x0r8,J. Cameron,Defender,12.0,4,0,1,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,cgcpmpetc768pyqb51qthq61g,R. Chukwu,Defender,13.0,3,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,36zaipqgc0wezlywtiyplmdck,T. Ciccarelli,Attacker,19.0,4,1,1,2,1,1,3,1
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,96e9nyp0cesfw0v96uqvq0m50,Jessé Costa,Midfielder,10.0,4,0,0,0,0,0,2,2
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,diiyzfuzge83jn87uzo1hij2s,O. Diallo,Attacker,15.0,3,0,0,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,dqxh3f9qy6lhrwabvnbb6erro,Andrei Dumitru,Midfielder,20.0,3,0,0,0,0,0,1,2
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,3sh1nv3keatzqq5w1x6s8zdas,I. Goldson,Goalkeeper,16.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,c7iepmqewf1dnc7zl36iskdn8,C. Greco-Taylor,Midfielder,3.0,3,0,3,1,1,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,4e644yd0r3wsm9b87m0ff1q8k,K. Kane,Midfielder,6.0,2,0,1,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,9v3ywsg5bxydb8p2spjq9mi38,S. López,Attacker,7.0,4,3,1,0,0,0,0,4
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,57yplpr6jgwlqoon231ydqp04,I. Mathe,Defender,21.0,2,0,0,1,1,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,5n7a8mn92t3qajms7udeolmok,M. Morgan,Midfielder,9.0,4,1,1,0,0,0,1,2
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,8pvvljn4uasfjxdleh56pm38,A. Pearlman,Defender,5.0,3,0,2,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,5l9js12tsf18c7st0oac3swes,T. Rigopoulos,Defender,2.0,4,0,0,0,0,0,1,2
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,f3m60k7nbbfagxays3o344c2c,E. Brown,Defender,14.0,3,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,bhzjqo4qidpkmh7lqqir9h4ic,J. Badwal,Midfielder,8.0,4,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,ajrr99t1qsj4sy5zcx0t5ksgk,K. Stewart-Baynes,Attacker,11.0,3,0,1,0,0,0,0,3
Concacaf_Concacaf_U20,2024 Mexico,Canada Under 20,drrhh40iph6dozowkv50abtw4,G. Świderski,Goalkeeper,1.0,4,0,0,0,0,0,0,0
