equipo,link,logo,cod_equipo,cod_liga,liga
Anguilla,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/anguilla/a8qocq8ic1q8zme3s7d3icrmd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a8qocq8ic1q8zme3s7d3icrmd,a8qocq8ic1q8zme3s7d3icrmd,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
Antigua and Barbuda,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/antigua-and-barbuda/a90m8z0sazz6fn3swvghc3sut,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a90m8z0sazz6fn3swvghc3sut,a90m8z0sazz6fn3swvghc3sut,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
Aruba,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/aruba/a7r9j0ovrdvpxpmmy71dq904r,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a7r9j0ovrdvpxpmmy71dq904r,a7r9j0ovrdvpxpmmy71dq904r,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
Bahamas,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/bahamas/64le7lqb2ork2odjnft2lcf6d,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=64le7lqb2ork2odjnft2lcf6d,64le7lqb2ork2odjnft2lcf6d,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
Barbados,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/barbados/6raiahlhb99i9rzr6sj4nm7qh,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=6raiahlhb99i9rzr6sj4nm7qh,6raiahlhb99i9rzr6sj4nm7qh,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
Belize,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/belize/ad06y2rz0lcrn6dsone4cl4g5,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ad06y2rz0lcrn6dsone4cl4g5,ad06y2rz0lcrn6dsone4cl4g5,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
Bermuda,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/bermuda/88ca766nh0ae9i9kpvwubxpzp,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=88ca766nh0ae9i9kpvwubxpzp,88ca766nh0ae9i9kpvwubxpzp,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
Bonaire,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/bonaire/8tjgp47v3kqgyyfo8tvo55av7,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=8tjgp47v3kqgyyfo8tvo55av7,8tjgp47v3kqgyyfo8tvo55av7,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
British Virgin Islands,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/british-virgin-islands/9u425psmj98quzjm5ekozmeyb,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9u425psmj98quzjm5ekozmeyb,9u425psmj98quzjm5ekozmeyb,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
Canada,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/canada/eg7vduna0h3vis1wd47s41za7,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=eg7vduna0h3vis1wd47s41za7,eg7vduna0h3vis1wd47s41za7,7xh03f8iha4vw8k44wvwoa68k,concacaf-nations-league-2024-2025
