dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Barbados,Barbados,Concacaf Nations League,Attacker,Barbados,1l2tbfg7tcr0f252jc66iy7kl,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/1l2tbfg7tcr0f252jc66iy7kl
,,Barbados,Barbados,Concacaf Nations League,Midfielder,Barbados,25w3lr4wtbvic30xayig9lel0,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/25w3lr4wtbvic30xayig9lel0
,,Barbados,Barbados,Concacaf Nations League,Attacker,Barbados,2947wk25xkrvdp4yq99u9gusp,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/2947wk25xkrvdp4yq99u9gusp
,,Barbados,Barbados,Concacaf Nations League,Goalkeeper,Barbados,2oh9rt4s4zv8skdcuuj6fds0k,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/2oh9rt4s4zv8skdcuuj6fds0k
,,Barbados,Barbados,Concacaf Nations League,,Barbados,2rubpif2jso8n9rpnejrxxxhx,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/2rubpif2jso8n9rpnejrxxxhx
,,Barbados,Barbados,Concacaf Nations League,Goalkeeper,Barbados,2t0mwzsaizcvo493n2s2tdroq,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/2t0mwzsaizcvo493n2s2tdroq
,Mario Williams,Barbados,Barbados,Concacaf Nations League,Defender,Barbados,37r26oms3xmltsz489e3q8u7d,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/37r26oms3xmltsz489e3q8u7d
,,Barbados,Barbados,Concacaf Nations League,Midfielder,Barbados,3ahku6k0oxl1j1lj2cccto6ol,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/3ahku6k0oxl1j1lj2cccto6ol
,,Barbados,Barbados,Concacaf Nations League,Midfielder,Barbados,3n5ked5i0gjxc4z2beapg8y22,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/3n5ked5i0gjxc4z2beapg8y22
,,Barbados,Barbados,Concacaf Nations League,Defender,Barbados,3wmf2bs0fp98u634e2lmv08kq,6raiahlhb99i9rzr6sj4nm7qh,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/6raiahlhb99i9rzr6sj4nm7qh/player/view/3wmf2bs0fp98u634e2lmv08kq
