liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Time Played,Open Play Passes,Successful Passes Opposition Half,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Index,Duels won,Total Fouls Won,Aerial Duels won,Duels,Goals Conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Ground Duels won,Backward Passes,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Tackles,Recoveries,Starts,PutThrough/Blocked Distribution,Blocks,Forward Passes,Successful Long Passes,Total Clearances,Tackles Won,Tackles Lost,Throw Ins to Own Player,Successful Crosses & Corners,Unsuccessful Launches,Key Passes (Attempt Assists),Throw Ins to Opposition Player,Successful Crosses open play,Handballs conceded,Interceptions,Unsuccessful Crosses open play,Corners Won,Successful Dribbles,Total Touches In Opposition Box,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Successful Launches,Shots Off Target (inc woodwork),Total Shots,Blocked Shots,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Lay-offs,Right Foot Goals,Shots On Target ( inc goals ),Goals from Inside Box,Unsuccessful lay-offs,Saves Made,GK Successful Distribution,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Offsides,Assists (Intentional),Goal Assists,Punches,Catches,Saves made - caught,Successful Corners into Box,Drops,Penalties Faced,Clean Sheets,Penalties Taken,Penalties Conceded,Attempts from Set Pieces,Last Man Tackle,Headed Goals,Goals from Outside Box,Hit Woodwork,Other Goals,Through balls,Left Foot Goals,Own Goal Scored,Goalkeeper Smother,Crosses not Claimed,Clearances Off the Line,Penalties Saved,Saves from Penalty,Penalty Goals,Foul Won Penalty,Set Pieces Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,1g4heoohxdotazv2yc1bt7sgl,R. Beckles-Richards,Attacker,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,52qayll40oreo7nc2yli0d4o9,R. Browne,Midfielder,,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,42qt5ica9z9vj3fxh0a4s2y1h,R. Burton,Midfielder,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,45cb2phlhy6t1h3s9ki3kmuol,P. Byers,Attacker,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,5iffq5aax9e3k1ug349sux1p1,Z. Francis-Angol,Defender,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,42kqvetzspprh1qpdp4t4d2ad,Q. Griffith,Defender,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,866aiod7ayn6b1oflzpnm1f4l,T. Harriette,Midfielder,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,b0qtdtfirbjcyrkrosc5bl3o5,C. Jahraldo-Martin,Midfielder,,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,439ax07s1doij5pmxrysn6hg5,M. James,Goalkeeper,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,3xb64c5d10lqbj7nyz71umr4l,J. John,Midfielder,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,1p9ljberldpuxr878lfjlmxn9,E. Kirwan,Midfielder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,8j973p60u1tcz7jbjr5dbhe5l,D. Lockhart,Goalkeeper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,cqqgpe1imzfkp3r51ht05dlud,M. McCoy,Defender,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,6dd05ocgw0gkfg380jj8f4rth,E. McDonald,Attacker,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,b5rb6asl3bz3ybeupugscfbo5,B. Muhammad,Goalkeeper,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,an0a47cywtwk0kb990f1wxz9x,K. Murtagh,Midfielder,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,57qlzx16kg9giz5dhi3k1t61h,J. Parker,Attacker,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Antigua and Barbuda,el3r27wfq0mol5x15ud77u6sp,C. Peters,Defender,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
