dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
32,,FC Dallas,FC_Dallas,Leagues Cup,Defender,USA,14sld3djevxpcce9co1aqxn9w,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/14sld3djevxpcce9co1aqxn9w
41,,FC Dallas,FC_Dallas,Leagues Cup,Attacker,Jamaica,19ckwd2oz9uyfjznuq2c41btg,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/19ckwd2oz9uyfjznuq2c41btg
,,FC Dallas,FC_Dallas,Leagues Cup,,Spain,1fvpwhip51ksl10np6hxs65ex,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/1fvpwhip51ksl10np6hxs65ex
,,FC Dallas,FC_Dallas,Leagues Cup,,Wales,2vforlspnmnqjnv1i6t1ghx5g,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/2vforlspnmnqjnv1i6t1ghx5g
,,FC Dallas,FC_Dallas,Leagues Cup,Midfielder,USA,32c9e26wcnr5kmab8ep4zph5g,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/32c9e26wcnr5kmab8ep4zph5g
99,,FC Dallas,FC_Dallas,Leagues Cup,Attacker,Romania,3h8rx5wumr7hktll4hnvx7or8,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/3h8rx5wumr7hktll4hnvx7or8
2,Geovane Jesus,FC Dallas,FC_Dallas,Leagues Cup,Defender,Brazil,3rv93okfwkm3mz6x01tctrsic,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/3rv93okfwkm3mz6x01tctrsic
16,,FC Dallas,FC_Dallas,Leagues Cup,Midfielder,South Africa,47y4l0loyys6gjr6q0ef25dnu,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/47y4l0loyys6gjr6q0ef25dnu
29,,FC Dallas,FC_Dallas,Leagues Cup,Defender,USA,4m1a1e1aqovig7w39zrfy8smh,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/4m1a1e1aqovig7w39zrfy8smh
77,,FC Dallas,FC_Dallas,Leagues Cup,Attacker,USA,4rbdimd60mev06u2km69yyvo,4gi4qw4gt6nfq0c6r8y574qgp,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/4gi4qw4gt6nfq0c6r8y574qgp/player/view/4rbdimd60mev06u2km69yyvo
